PPBPP2
RN7SKP159
TMEM184A
MMP10
PRELID1P1
NOBOX
DPP3P1
CYB5RL
NT5DC3
PTTG1
RRN3
RN7SL203P
RNU6-887P
FRG2KP
VAT1
CT47C1
EXOSC3
SNORD1B
LINC00683
BEND4
C15orf39
RPS15AP5
MIR3126
C1QL4
MRPS18A
LRRC7
RPS20P25
HSPB1P2
ANO1
MIR8081
FOXC2-AS1
PIP4K2B
INTU
SLC6A21P
RN7SL713P
AFF4
TSPY24P
CRLF1
RNU6-1041P
DIO3
OFD1P16Y
RNA5SP197
HMCN2
L1CAM
MTCO1P14
G0S2
SLC6A1-AS1
LGALS13
POM121L12
ZBTB21
GDI2P1
LOXL3
RN7SL260P
NAA30
MS4A14
RNU7-94P
RNA5SP429
REEP6
RABGGTB
CKS1BP5
COPS2
MYBBP1A
LPCAT4
SNHG22
H4C2
SLC22A8
RXRG
LINC02784
SSBL5P
TECPR1
ETS2P1
ST13P16
MFFP1
UBB
CACNA1G
DAOA
CASC6
CFTR
ADGRF5-AS1
LTV1P1
SOCS2-AS1
RPUSD4
LRIG1
GTPBP4
KCND2
RPL19P1
MIEF2
GPD1L
ERCC5
MLIP-IT1
ENPP7P4
OR2L1P
RNU6-980P
CEBPB-AS1
MIR3161
FCAMR
TRAPPC3L
TRIM45
MIR3660
CYYR1
PCDH18
RNU6-717P
MIR4540
ATOSA
RN7SL140P
RPL21P58
RNU2-59P
FLT1
CHRNA6
MYT1
OR4D10
ZNF425
IGHVIII-67-2
CREBL2
NPM1P32
RN7SKP92
OR56B1
VWC2L
ATP6V1FP2
CROCC
RNU6-316P
SBF1P1
HTT-AS
MSL3-DT
RNF141
ADGRL1-AS1
CWF19L1
LHX8-AS1
RNU4-35P
CLK2P1
RNU6-606P
LINC01436
CHCHD3P3
STING1
RRM2P3
FAT4
UBE2DNL
CDHR5
RN7SL81P
LILRB1
RPS3AP13
IGKV1OR2-6
ANKFY1
LINC03071
MIR4463
RN7SL767P
CYP46A4P
EGOT
LINC03088
C11orf71
CDC42BPB
ZNF445
PTCH1
RNU4-47P
OR10T2
EXOSC3P2
TMOD4
ADCY3
MASTL
ATAD1
TARDBPP1
RSPH1
HNRNPA1P3
RDX
MFSD9
IER5L
MIR3157
KRT8P47
RPL10P1
GKN3P
SARDH
MIR7850
BEND7P1
KIR2DL3
LINC02276
CCL4L2
MIR4637
GSKIP
MIR7702
C3AR1
SNORA56
FAAH2
VPS36
DNMT3B
CEMP1
DENND5A
CMTM2
MIR9-3HG
TOPORSLP
RPS12P7
AKT2
ANAPC11
CMKLR2
PLEKHB2P1
LINC01077
FAN1
MAPK8IP3
ATPAF2
RPS10P16
RPS12P3
MTCO2P15
PCDHAC2
RAD23BP2
E4F1
CYCSP10
PI15
DHH
SPADH
ASB10
RNU4-16P
MYH10
ERVH48-1
DYNLL1P5
SP4
TNFRSF1A
BMP2KL
LINC02210-CRHR1
ZNF567-DT
MIR6888
CFAP53
RPL7P38
FAM41C
SNORD5
MTCO2P25
PPP1R11P2
MRPL13
VEGFC
NEXMIF
IPO11
RN7SL338P
WASF1
UBE2H-DT
IGHD3-16
DSC1
RNU6-199P
VDAC2
TSPAN7
RPL12P27
NKAIN3
RPL21P83
LBX2
COX7A2P1
MTND5P21
MIR614
RAP1GAP2
LANCL1-AS1
OR4N1P
RPL32
TIMP3
RN7SL470P
C6orf120
LAMB2P1
MYO19
HNRNPDP2
APOL6
SNORD83B
UGT1A13P
TRIM58
C1orf174
MIR1255A
EPHA8
ABLIM3
RALGAPA1
MIR664B
FAM83A-AS1
SMG8
RN7SL814P
SPTLC1P2
RNF11P1
FSD1
BAD
IFNA16
METTL21AP1
RPS11
KLK1
HTN3
NPM1P28
TUBB4BP2
VDAC1P11
PAFAH2
KLF11
MTRNR2L12
HRCT1
MIR320C1
NPM1P10
OR51H2P
LYRM7
TRMT5
EFCAB7
RN7SL497P
TCL1A
RN7SL466P
RNU6-1059P
ITIH1
RPL7P61
ABCB10
GCSHP6
HLA-DPA3
FSD2
ZFAND3
HCCAT5
MTMR8
SNX19P2
NETO1
CITED1
GULP1
YARS2
MYLK4
MIR103A1
TREHP1
OR5B17
SLC1A5
RNU6-521P
MAD2L1-DT
CDH3
NR1H3
RNU1-103P
TRIM24
CHMP1A
ZBTB8OSP2
MIR5705
EEF1DP2
SLC25A12
UBE2J1
EDRF1
ADAM11
NT5M
LAMB1
SERPINA10
ASB6
LINC02289
VENTXP4
IKBKE
MCEMP1
MTCO1P49
DPYD-IT1
GYPA
SULT1B1
RNU6-206P
LINC01257
RNA5SP63
DDX1
OR5BJ1P
MARCHF8
LINC01564
MIR301A
CATSPERD
NANOGP3
MIR3916
LINC00377
ZNF346-IT1
SCMH1
HCG4B
PNPLA10P
IGHVIII-22-2
RPL21P14
EIF2B5
LARGE2
THAP12P9
PODNL1
DIS3L
SPCS2P1
CLDN10
HSP90AB3P
IQCE
MTRR
MMP24
UQCRHP4
MSRB1P1
SALL4P1
SNORA30B
SLC25A15P5
MIR3119-1
RNU6-426P
RNA5SP394
RPL36AP9
SNORD116-13
ROCR
ACOX2
RNU6-1152P
COL6A1
RN7SL510P
NDUFB4P3
PSMA6P2
GATB
RNU6-177P
NDP
DAXX
HNRNPM
RNU6-777P
C1GALT1P2
MIR1256
OR7A10
VIM
GLYATL2
SDK2
ENPP7P3
ITK
TNIP2P1
FUT7
BNC2
FGFR3P4
MIR219A1
OSMR
OR51S1
FAM43A
SVIP
PHEX
MIR4714
RN7SL803P
FAM133B
ABHD6
COX6CP1
DOK6
PPP4R3B-DT
ATG16L1
LINC01359
OXCT1-AS1
LINC01545
ABCA7
LIM2
RNU6-431P
STUB1P1
PCGF3
FAM110A
MIR3908
LINC01221
LMAN2L
RP9P
CD72
PLG
MIR342
FAM86B3P
GPD1
RNA5SP262
SLC35E1P1
RPSAP18
RNA5SP70
PCDHB17P
RPL21P8
NKX1-1
IGBP1P4
ZNF524
PPIAP44
LELP1
CFAP97P1
RNU6-153P
RNY1P3
