source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,n_sources,n_primary_sources,n_references,references_stripped
COMPLEX:P0CG47_Q15819,Q9C0B0,UBB_UBE2V2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O14933_P62979,Q9C0B0,RPS27A_UBE2L6,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P62253,Q9C0B0,UBB_UBE2G1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q96LR5,Q9C0B0,UBA52_UBE2E2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q5VVX9,Q9C0B0,UBA52_UBE2U,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q7Z7E8,Q9C0B0,RPS27A_UBE2Q1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_P68036,Q9C0B0,UBA52_UBE2L3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q712K3,Q9C0B0,UBB_UBE2R2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61077_P63279,Q9C0B0,UBE2D3_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62837_P62979,Q9C0B0,RPS27A_UBE2D2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63146_P63279,Q9C0B0,UBE2B_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q5VVX9,Q9C0B0,RPS27A_UBE2U,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P49459_P62987,Q9C0B0,UBA52_UBE2A,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q9Y385,Q9C0B0,UBA52_UBE2J1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q8N2K1,Q9C0B0,UBA52_UBE2J2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q8N2K1,Q9C0B0,UBB_UBE2J2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279,Q9C0B0,UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q969T4,Q9C0B0,UBA52_UBE2E3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q5JXB2,Q9C0B0,UBB_UBE2NL,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61077_P62979,Q9C0B0,RPS27A_UBE2D3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q16763,Q9C0B0,RPS27A_UBE2S,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q9Y385,Q9C0B0,UBB_UBE2J1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62256_P62987,Q9C0B0,UBA52_UBE2H,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61081_P63279,Q9C0B0,UBE2I_UBE2M,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q5VVX9,Q9C0B0,UBE2I_UBE2U,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q16763,Q9C0B0,UBE2I_UBE2S,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q9Y2X8,Q9C0B0,UBE2D4_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P68036,Q9C0B0,UBB_UBE2L3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q96B02,Q9C0B0,UBB_UBE2W,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q5VVX9,Q9C0B0,UBB_UBE2U,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q16763,Q9C0B0,UBA52_UBE2S,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q969T4,Q9C0B0,UBB_UBE2E3,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P49459_P62979,Q9C0B0,RPS27A_UBE2A,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q96LR5,Q9C0B0,UBB_UBE2E2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q712K3,Q9C0B0,UBA52_UBE2R2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q9Y2X8,Q9C0B0,UBB_UBE2D4,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P51668_P62979,Q9C0B0,RPS27A_UBE2D1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q8WVN8,Q9C0B0,UBB_UBE2Q2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:A0A1B0GUS4_P62987,Q9C0B0,UBA52_UBE2L5,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P51965_P63279,Q9C0B0,UBE2E1_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61086_P62987,Q9C0B0,UBA52_UBE2K,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62837_P62987,Q9C0B0,UBA52_UBE2D2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P62837,Q9C0B0,UBB_UBE2D2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:A0A1B0GUS4_P63279,Q9C0B0,UBE2I_UBE2L5,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:A0A1B0GUS4_P62979,Q9C0B0,RPS27A_UBE2L5,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P63279,Q9C0B0,UBB_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61081_P62979,Q9C0B0,RPS27A_UBE2M,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q7Z7E8,Q9C0B0,UBE2I_UBE2Q1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61088_P63279,Q9C0B0,UBE2I_UBE2N,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O00762_P62979,Q9C0B0,RPS27A_UBE2C,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61086_P63279,Q9C0B0,UBE2I_UBE2K,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q9NPD8,Q9C0B0,UBB_UBE2T,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q5JXB2,Q9C0B0,UBA52_UBE2NL,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q9H832,Q9C0B0,RPS27A_UBE2Z,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:O00762_P63279,Q9C0B0,UBE2C_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P60604,Q9C0B0,UBB_UBE2G2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q96LR5,Q9C0B0,RPS27A_UBE2E2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:A0A1B0GUS4_P0CG47,Q9C0B0,UBB_UBE2L5,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q9NPD8,Q9C0B0,UBA52_UBE2T,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61088_P62979,Q9C0B0,RPS27A_UBE2N,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q13404,Q9C0B0,UBE2I_UBE2V1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_Q9NR09,Q9C0B0,BIRC6_UBB,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P51965_P62987,Q9C0B0,UBA52_UBE2E1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P61086_P62979,Q9C0B0,RPS27A_UBE2K,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P60604_P62979,Q9C0B0,RPS27A_UBE2G2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62987_Q9Y2X8,Q9C0B0,UBA52_UBE2D4,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q9NR09,Q9C0B0,BIRC6_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62837_P63279,Q9C0B0,UBE2D2_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P63279_Q712K3,Q9C0B0,UBE2I_UBE2R2,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q9NPD8,Q9C0B0,RPS27A_UBE2T,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P0CG47_P61088,Q9C0B0,UBB_UBE2N,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62256_P63279,Q9C0B0,UBE2H_UBE2I,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
COMPLEX:P62979_Q9Y385,Q9C0B0,RPS27A_UBE2J1,UNK,True,True,False,True,True,False,1,SIGNOR:34199813,SIGNOR,post_translational,1,1,1,34199813
